Solution,Time
7210.75,48.8780995
6687.6368416180085,48.8780995
6092.851446952472,48.8780995
5591.906606419484,48.8780995
5167.884899450395,48.8780995
4836.312620841901,48.8780995
4576.037930146944,48.8780995
4412.100587550243,48.8780995
4314.810660732074,48.8780995
4244.284988720698,48.8780995
4202.793154603554,48.8780995
4171.743688947763,48.8780995
4149.626912950291,48.8780995
4134.036285435486,48.8780995
4124.209048640881,48.8780995
4115.960231186738,48.8780995
4110.869923919714,48.8780995
4106.785924069599,48.8780995
4104.243478704215,48.8780995
4102.282530193218,48.8780995
4100.937134637124,48.8780995
