1,2,5,A,B,C
"[0, 2, 9]",0.007983539127710227,-6.411810984366883,0,2,9
"[0, 2, 16]",0.09690253208048473,1.5313201491623971,0,2,16
"[0, 2, 17]",0.01593860509419273,-3.95661345354737,0,2,17
"[0, 2, 24]",0.12115739266941143,1.1745535337777802,0,2,24
"[0, 2, 37]",0.03317391543446276,-5.272315304546584,0,2,37
"[0, 2, 39]",0.029275266201978376,-3.4716406525401347,0,2,39
"[0, 2, 42]",0.04437212962581566,0.4960151046398114,0,2,42
"[0, 2, 46]",0.01007364854850515,-3.682459357086393,0,2,46
"[0, 2, 53]",0.1108000896213466,2.487043981305952,0,2,53
"[0, 2, 65]",0.056242940579492716,-4.677797891932081,0,2,65
"[0, 2, 66]",0.019390361172751332,-1.018506029655354,0,2,66
"[0, 8, 17]",0.01593860509419273,-2.449626466732824,0,8,17
"[0, 8, 21]",0.051085634904735513,-1.3247633769314326,0,8,21
"[0, 8, 37]",0.029275266201978237,-4.35087014786882,0,8,37
"[0, 8, 39]",0.05000700705746956,-8.028259995584849,0,8,39
"[0, 8, 46]",0.016908194774043348,-8.609217569920657,0,8,46
"[0, 8, 47]",0.096168960897058,-11.907682467402356,0,8,47
"[0, 8, 50]",0.07552269369521683,0.17657033012422207,0,8,50
"[0, 8, 54]",0.1513878188659976,8.997439140960331,0,8,54
"[0, 8, 55]",0.04910173025857872,-7.241721091397366,0,8,55
"[0, 8, 65]",0.056242940579492716,-4.166011345835816,0,8,65
"[0, 8, 67]",0.06889827255971366,-3.654207887453296,0,8,67
"[0, 9, 12]",0.10690159234251208,-0.4972087374510448,0,9,12
"[0, 9, 16]",0.10690159234251208,-1.4729342375692642,0,9,16
"[0, 9, 20]",0.053724123273925575,-0.4689366983898289,0,9,20
"[0, 9, 24]",0.05132014925736541,-2.7218312146193626,0,9,24
"[0, 9, 41]",0.10690159234251216,0.8294710892516095,0,9,41
"[0, 9, 44]",0.08594592555205789,-1.3634372932076708,0,9,44
"[0, 9, 56]",0.024425002972391016,-2.8828450104555285,0,9,56
"[0, 9, 61]",0.10690159234251208,0.11602019670105655,0,9,61
"[0, 10, 15]",0.06145256082206727,-3.888612318404213,0,10,15
"[0, 10, 17]",0.01593860509419273,-0.7310291492978234,0,10,17
"[0, 10, 20]",0.1513878188659976,10.429714731265172,0,10,20
"[0, 10, 24]",0.0533462844152027,-6.2433431086969255,0,10,24
"[0, 10, 37]",0.06345417068283765,-0.2333121041197863,0,10,37
"[0, 10, 44]",0.13606343903685592,6.987592453779528,0,10,44
"[0, 10, 46]",0.06701002895865696,-2.6454540109743,0,10,46
"[0, 10, 49]",0.16971624607966876,3.0381444995053712,0,10,49
"[0, 10, 54]",0.1513878188659976,12.426236494155278,0,10,54
"[0, 10, 58]",0.05000700705746957,-6.1669035302614335,0,10,58
"[0, 10, 66]",0.1023989562206646,-3.4479309601355905,0,10,66
"[0, 12, 16]",0.08681959393546927,-0.2597140754210869,0,12,16
"[0, 12, 17]",0.055547703412599625,-5.52682756041316,0,12,17
"[0, 12, 21]",0.023019462490848443,-2.2268418198417805,0,12,21
"[0, 12, 37]",0.0004211386888790671,-6.430253566586285,0,12,37
"[0, 12, 44]",0.08627156523562544,0.6494663759461083,0,12,44
"[0, 12, 46]",0.030655398404986125,-0.08305919398615913,0,12,46
"[0, 12, 66]",0.10033916502376287,-4.180764660756235,0,12,66
"[0, 12, 67]",0.03690402993051276,1.367360503875517,0,12,67
"[0, 15, 16]",0.09412399302040513,3.3188355343692315,0,15,16
"[0, 15, 28]",0.012510040805177135,-2.3341163314264843,0,15,28
"[0, 15, 44]",0.07335151716799418,0.8158056845076409,0,15,44
"[0, 15, 49]",0.08789946783715599,-2.9946921521041503,0,15,49
"[0, 15, 50]",0.002612723712510647,-4.587622991728988,0,15,50
"[0, 15, 54]",0.02550102045285544,-0.0823262100761486,0,15,54
"[0, 15, 61]",0.1017452950224692,-3.580501186907462,0,15,61
"[0, 16, 17]",0.055547703412599625,-3.5267269336195586,0,16,17
"[0, 16, 24]",0.047661756704347434,2.179908704472023,0,16,24
"[0, 16, 37]",0.0103638871371654,-6.864521962661827,0,16,37
"[0, 16, 39]",0.1134497840732962,-1.5625518251671195,0,16,39
"[0, 16, 42]",0.033064157260663626,-1.7258682838832513,0,16,42
"[0, 16, 47]",0.04804938291422301,0.4079709063340076,0,16,47
"[0, 16, 50]",0.02627691347266988,-0.9933439345281451,0,16,50
"[0, 16, 55]",0.05759947845435705,-0.8512161450971991,0,16,55
"[0, 16, 58]",0.11344978407329613,5.7235186656016985,0,16,58
"[0, 16, 66]",0.03339995508349304,0.39829784585341343,0,16,66
"[0, 17, 20]",0.015938605094192645,-1.952698826120024,0,17,20
"[0, 17, 24]",0.0004614508378630545,-2.8922673436814588,0,17,24
"[0, 17, 41]",0.024254177440614262,-3.5274455279509813,0,17,41
"[0, 17, 44]",0.010184731752251456,-1.5436473793933487,0,17,44
"[0, 17, 54]",0.015938605094192645,-0.6992706120081031,0,17,54
"[0, 17, 67]",0.02478991582180353,-2.2106968517154084,0,17,67
"[0, 20, 21]",0.013473320796336178,-1.1125075250498622,0,20,21
"[0, 20, 24]",0.030208101813812557,-4.649679698695532,0,20,24
"[0, 20, 37]",0.06345417068283765,1.0980170476169473,0,20,37
"[0, 20, 39]",0.05000700705746956,-8.207136424570606,0,20,39
"[0, 20, 41]",0.0533462844152027,-3.7327422755658937,0,20,41
"[0, 20, 47]",0.096168960897058,-12.425889356089355,0,20,47
"[0, 20, 49]",0.0018049721667921113,0.15440635050682472,0,20,49
"[0, 20, 50]",0.07552269369521683,1.5423018838158962,0,20,50
"[0, 20, 54]",0.05125411977894927,-5.2234748682346925,0,20,54
"[0, 20, 55]",0.005106701347423645,-6.448006365652608,0,20,55
"[0, 20, 65]",0.010818818023912742,-2.7255628925884645,0,20,65
"[0, 20, 66]",0.1023989562206646,-4.596663207099381,0,20,66
"[0, 20, 67]",0.20042236187415924,10.56914530074716,0,20,67
"[0, 21, 53]",0.007047356045023291,-2.393116246351539,0,21,53
"[0, 21, 61]",0.04193365498673639,-3.8985769198195537,0,21,61
"[0, 21, 66]",0.010480708768974351,-6.934353527593883,0,21,66
"[0, 21, 67]",0.023427377051100897,-1.3181795348585332,0,21,67
"[0, 24, 41]",0.1513878188659976,4.804151219905761,0,24,41
"[0, 24, 44]",0.00015616934692055465,0.5563953001754895,0,24,44
"[0, 24, 47]",0.096168960897058,-12.22738155316905,0,24,47
"[0, 24, 49]",0.0018049721667921113,0.17931053868929214,0,24,49
"[0, 24, 50]",0.07343856821461775,-0.9390526608076772,0,24,50
"[0, 24, 58]",0.05000700705746957,-6.12111227036875,0,24,58
"[0, 24, 61]",0.08548811392727435,1.3246318078031418,0,24,61
"[0, 24, 65]",0.040622147705594816,-0.8740658071325385,0,24,65
"[0, 24, 66]",0.1023989562206646,-3.5145999808484136,0,24,66
"[0, 28, 39]",0.009642999020139851,-10.249234310374133,0,28,39
"[0, 28, 42]",0.005741381592208532,-6.519811995462942,0,28,42
"[0, 28, 46]",0.03171540755932583,-1.2100143308060891,0,28,46
"[0, 28, 47]",0.025178900760251303,-5.268782193500926,0,28,47
"[0, 28, 53]",0.1873784653215876,8.055899442692851,0,28,53
"[0, 28, 55]",0.030078622265319738,-1.3788907836341324,0,28,55
"[0, 28, 58]",0.00540060494690716,-7.47962686252475,0,28,58
"[0, 28, 65]",0.018742931365557637,-2.1608721295305124,0,28,65
"[0, 28, 66]",0.0045408572140298725,-3.6801682674908434,0,28,66
"[0, 28, 67]",0.21210033361927946,10.666145135866305,0,28,67
"[0, 37, 39]",0.029275266201978407,-3.540161294187744,0,37,39
"[0, 37, 44]",0.019978771365051502,-4.93457986061248,0,37,44
"[0, 37, 54]",0.029275266201978463,1.0903265806097802,0,37,54
"[0, 37, 58]",0.029275266201978362,-3.0098602901517464,0,37,58
"[0, 37, 61]",4.970147245588492e-05,-9.987872773498252,0,37,61
"[0, 39, 41]",0.0006835567047994207,-12.697195894917865,0,39,41
"[0, 39, 44]",0.02530877642899292,-3.0877894174129423,0,39,44
"[0, 39, 46]",0.003132163031691155,-7.956898677447074,0,39,46
"[0, 39, 47]",0.0059420487997169395,-15.787391276134176,0,39,47
"[0, 39, 54]",0.008174484796474334,-6.706811378666543,0,39,54
"[0, 39, 58]",0.008986368939417642,-3.5115854372370343,0,39,58
"[0, 39, 61]",0.11344978407329602,2.653801671944688,0,39,61
"[0, 39, 67]",0.015396368390938775,-9.923724093108733,0,39,67
