1,2,5,A,B,C
"[0, 2, 9]",0.10690159234251204,-1.3682207133975497,0,2,9
"[0, 2, 16]",0.2364169544976277,2.019586786310541,0,2,16
"[0, 2, 17]",0.1513878188659976,4.6159444746187095,0,2,17
"[0, 2, 24]",0.1513878188659976,1.2491132546495551,0,2,24
"[0, 2, 39]",0.2364169544976277,8.786666481902742,0,2,39
"[0, 2, 42]",0.1513878188659976,5.825134586411152,0,2,42
"[0, 2, 46]",0.17289662968924466,-4.817730165265118,0,2,46
"[0, 2, 53]",0.2206821694580844,6.860591600274649,0,2,53
"[0, 2, 65]",0.09616896089705797,-3.121744174532879,0,2,65
"[0, 2, 66]",0.1513878188659976,3.939368191851667,0,2,66
"[0, 8, 17]",0.1513878188659976,4.668752396101056,0,8,17
"[0, 8, 21]",0.1513878188659976,2.2943410040994627,0,8,21
"[0, 8, 37]",0.2364169544976277,2.1639169469823845,0,8,37
"[0, 8, 46]",0.2364169544976277,1.2415504616937272,0,8,46
"[0, 8, 50]",0.022044875173659325,-0.7941888917515727,0,8,50
"[0, 8, 54]",0.1513878188659976,8.997439140960331,0,8,54
"[0, 8, 55]",0.08881777024233628,-7.52937204358955,0,8,55
"[0, 8, 65]",0.09616896089705797,-2.7762239668942126,0,8,65
"[0, 9, 12]",0.10690159234251208,-0.4972087374510448,0,9,12
"[0, 9, 16]",0.0002515274964459328,-4.061730839828284,0,9,16
"[0, 9, 20]",0.05372412327392585,-0.4689366983898289,0,9,20
"[0, 9, 24]",0.1069015923425122,0.20878110570871225,0,9,24
"[0, 9, 28]",0.0711461204888019,-1.2839967399844614,0,9,28
"[0, 9, 37]",0.08925940945352097,-0.9715608115342428,0,9,37
"[0, 9, 39]",0.058576520708413675,-4.863505221952416,0,9,39
"[0, 9, 41]",0.1069015923425122,0.8294710892516095,0,9,41
"[0, 9, 42]",0.05372412327392585,-0.9189112181597564,0,9,42
"[0, 9, 44]",0.029344958858922483,-9.209701772463092,0,9,44
"[0, 9, 55]",0.004511558503142165,-7.552864648342004,0,9,55
"[0, 9, 56]",0.10690159234251208,-2.1473705226641195,0,9,56
"[0, 9, 61]",0.10690159234251208,0.11602019670105655,0,9,61
"[0, 9, 66]",0.00361912307036596,-5.186879319885451,0,9,66
"[0, 10, 15]",0.06145256082206721,-3.888612318404214,0,10,15
"[0, 10, 17]",0.1513878188659976,6.042404750640867,0,10,17
"[0, 10, 20]",0.1513878188659976,10.429714731265172,0,10,20
"[0, 10, 37]",0.2364169544976277,12.007968144206464,0,10,37
"[0, 10, 44]",0.02204487517365936,-0.6916900250587998,0,10,44
"[0, 10, 49]",0.04804938291422317,-4.142217192609369,0,10,49
"[0, 10, 54]",0.1513878188659976,12.426236494155278,0,10,54
"[0, 12, 21]",0.048049382914222775,-3.3054407862170314,0,12,21
"[0, 12, 44]",0.17289662968924435,-7.04236799631701,0,12,44
"[0, 12, 46]",0.1560583238764048,-5.072427417827433,0,12,46
"[0, 12, 67]",0.23641695449762765,1.7658566608579631,0,12,67
"[0, 15, 16]",0.09412399302040493,3.3188355343692315,0,15,16
"[0, 15, 17]",0.06145256082206702,-3.5464631214963074,0,15,17
"[0, 15, 28]",0.01221172263145367,-1.5580662047309721,0,15,28
"[0, 15, 42]",0.013332777687961272,-2.82459157975454,0,15,42
"[0, 15, 44]",0.040146580268753576,-7.207588756528263,0,15,44
"[0, 15, 46]",0.09412399302040493,-2.7209355651284923,0,15,46
"[0, 15, 49]",0.09412399302040493,-2.8692478374209216,0,15,49
"[0, 15, 50]",0.03374999930539144,-5.558382213604784,0,15,50
"[0, 15, 54]",0.0941239930204051,1.0016407640021487,0,15,54
"[0, 15, 61]",0.10174529502246923,-3.580501186907462,0,15,61
"[0, 15, 66]",0.0941239930204051,-0.17161856337877526,0,15,66
"[0, 16, 24]",0.2364169544976281,5.047322384303662,0,16,24
"[0, 16, 39]",0.23641695449762765,6.430003280085598,0,16,39
"[0, 16, 42]",0.2364169544976281,9.503442287315307,0,16,42
"[0, 16, 47]",0.23641695449762765,13.275281528671552,0,16,47
"[0, 16, 50]",0.036904029930512734,-0.5709699169032447,0,16,50
"[0, 16, 55]",0.0564933108978317,-1.2065481620058076,0,16,55
"[0, 16, 58]",0.23641695449762765,11.612769795787914,0,16,58
"[0, 16, 66]",0.2364169544976281,6.1441407623194655,0,16,66
"[0, 17, 20]",0.1513878188659976,2.1959447575572693,0,17,20
"[0, 17, 24]",0.1513878188659976,1.0076024774221608,0,17,24
"[0, 17, 44]",0.02204487517365936,-3.6030896409619535,0,17,44
"[0, 17, 54]",0.1513878188659976,7.975878718999919,0,17,54
"[0, 17, 55]",0.05649331089783177,-7.7942611120507035,0,17,55
"[0, 17, 65]",0.04804938291422315,-0.7189781241770401,0,17,65
"[0, 17, 67]",0.2364169544976277,1.868427777871931,0,17,67
"[0, 20, 21]",0.1513878188659976,-0.0689911045966145,0,20,21
"[0, 20, 37]",0.0480493829142231,2.316459865624953,0,20,37
"[0, 20, 50]",0.022044875173659325,0.5715426619401023,0,20,50
"[0, 20, 55]",0.05649331089783177,-1.0816186347621506,0,20,55
"[0, 20, 65]",0.04804938291422315,-1.9093847226171707,0,20,65
"[0, 20, 67]",0.2364169544976277,12.923398876725535,0,20,67
"[0, 21, 39]",0.2364169544976277,2.016658667636232,0,21,39
"[0, 21, 42]",0.1513878188659976,2.537078495038584,0,21,42
"[0, 21, 53]",0.2206821694580844,2.4476301602498958,0,21,53
"[0, 21, 55]",0.05649331089783177,-5.9677567577973525,0,21,55
"[0, 21, 56]",0.2364169544976277,-0.3779091448705909,0,21,56
"[0, 21, 61]",0.2364169544976277,3.2178631614191997,0,21,61
"[0, 21, 65]",0.09616896089705797,-3.3219255840093247,0,21,65
"[0, 21, 67]",0.04804938291422317,-2.5653742464025022,0,21,67
"[0, 24, 41]",0.1513878188659976,4.804151219905761,0,24,41
"[0, 24, 44]",0.1728966296892442,-7.8221602350241115,0,24,44
"[0, 24, 50]",0.17289662968924438,-1.9098118826834725,0,24,50
"[0, 24, 61]",0.2364169544976277,2.130488391149932,0,24,61
"[0, 24, 65]",0.04804938291422315,0.6270381977602941,0,24,65
"[0, 28, 39]",0.1637589577115333,-7.588315523953824,0,28,39
"[0, 28, 47]",0.23641695449762765,9.210516437937244,0,28,47
"[0, 28, 53]",0.22068216945808425,10.043147437241863,0,28,53
